date,sport,home_team,away_team,bet_type,pick,bookmaker,odds,confidence,stake,result,profit,line
2026-03-17,basketball_nba,Los Angeles Lakers,Denver Nuggets,moneyline,Los Angeles Lakers,DraftKings,130,4/5,100,Win,130.0,
2026-03-17,icehockey_nhl,Boston Bruins,New York Rangers,moneyline,Boston Bruins,FanDuel,-120,5/5,100,Loss,-100.0,
2026-03-17,soccer_epl,Arsenal,Chelsea,moneyline,Arsenal,BetMGM,145,3/5,100,Win,145.0,
2026-03-17,basketball_nba,Washington Wizards,Detroit Pistons,moneyline,Washington Wizards,FanDuel,1100,5/5,100,Pending,0.0,
2026-03-17,basketball_nba,Washington Wizards,Detroit Pistons,moneyline,Washington Wizards,Bovada,950,5/5,100,Pending,0.0,
2026-03-17,basketball_nba,Washington Wizards,Detroit Pistons,moneyline,Washington Wizards,DraftKings,950,5/5,100,Pending,0.0,
2026-03-17,basketball_nba,Washington Wizards,Detroit Pistons,moneyline,Washington Wizards,LowVig.ag,950,5/5,100,Pending,0.0,
2026-03-17,basketball_nba,Washington Wizards,Detroit Pistons,moneyline,Washington Wizards,BetOnline.ag,910,5/5,100,Pending,0.0,
2026-03-17,basketball_nba,Washington Wizards,Detroit Pistons,moneyline,Washington Wizards,BetUS,900,5/5,100,Pending,0.0,
2026-03-17,basketball_nba,Washington Wizards,Detroit Pistons,moneyline,Washington Wizards,BetMGM,900,5/5,100,Pending,0.0,
2026-03-17,basketball_nba,Washington Wizards,Detroit Pistons,moneyline,Washington Wizards,BetRivers,900,5/5,100,Pending,0.0,
2026-03-17,basketball_nba,Washington Wizards,Detroit Pistons,moneyline,Washington Wizards,MyBookie.ag,877,5/5,100,Pending,0.0,
2026-03-17,soccer_epl,Arsenal,Bournemouth,moneyline,Bournemouth,LowVig.ag,900,5/5,100,Pending,0.0,
2026-03-17,soccer_epl,Arsenal,Bournemouth,moneyline,Bournemouth,BetOnline.ag,900,5/5,100,Pending,0.0,
2026-03-17,soccer_epl,Arsenal,Bournemouth,moneyline,Bournemouth,Bovada,825,5/5,100,Pending,0.0,
2026-03-17,soccer_epl,Arsenal,Bournemouth,moneyline,Bournemouth,BetRivers,800,5/5,100,Pending,0.0,
2026-03-17,basketball_nba,Sacramento Kings,San Antonio Spurs,moneyline,Sacramento Kings,FanDuel,640,5/5,100,Pending,0.0,
2026-03-17,soccer_epl,Arsenal,Bournemouth,moneyline,Bournemouth,DraftKings,750,5/5,100,Pending,0.0,
2026-03-17,basketball_nba,Sacramento Kings,San Antonio Spurs,moneyline,Sacramento Kings,LowVig.ag,606,5/5,100,Pending,0.0,
2026-03-17,basketball_nba,Sacramento Kings,San Antonio Spurs,moneyline,Sacramento Kings,BetMGM,600,5/5,100,Pending,0.0,
2026-03-17,basketball_nba,Sacramento Kings,San Antonio Spurs,moneyline,Sacramento Kings,DraftKings,600,5/5,100,Pending,0.0,
2026-03-17,soccer_epl,Arsenal,Bournemouth,moneyline,Bournemouth,FanDuel,700,5/5,100,Pending,0.0,
2026-03-17,basketball_nba,Sacramento Kings,San Antonio Spurs,moneyline,Sacramento Kings,BetOnline.ag,588,5/5,100,Pending,0.0,
2026-03-17,basketball_nba,Sacramento Kings,San Antonio Spurs,moneyline,Sacramento Kings,BetUS,585,5/5,100,Pending,0.0,
2026-03-17,basketball_nba,Sacramento Kings,San Antonio Spurs,moneyline,Sacramento Kings,BetRivers,575,5/5,100,Pending,0.0,
2026-03-17,basketball_nba,New York Knicks,Indiana Pacers,moneyline,Indiana Pacers,FanDuel,660,5/5,100,Pending,0.0,
2026-03-17,basketball_nba,New York Knicks,Indiana Pacers,moneyline,Indiana Pacers,BetMGM,650,5/5,100,Pending,0.0,
2026-03-17,soccer_epl,Arsenal,Bournemouth,moneyline,Bournemouth,MyBookie.ag,650,5/5,100,Pending,0.0,
2026-03-17,basketball_nba,New York Knicks,Indiana Pacers,moneyline,Indiana Pacers,MyBookie.ag,645,5/5,100,Pending,0.0,
2026-03-17,basketball_nba,Sacramento Kings,San Antonio Spurs,moneyline,Sacramento Kings,MyBookie.ag,544,5/5,100,Pending,0.0,
2026-03-17,basketball_nba,New York Knicks,Indiana Pacers,moneyline,Indiana Pacers,DraftKings,625,5/5,100,Pending,0.0,
2026-03-17,basketball_nba,Denver Nuggets,Philadelphia 76ers,moneyline,Philadelphia 76ers,FanDuel,810,5/5,100,Pending,0.0,
2026-03-17,basketball_nba,Sacramento Kings,San Antonio Spurs,moneyline,Sacramento Kings,Bovada,525,5/5,100,Pending,0.0,
2026-03-17,basketball_nba,Denver Nuggets,Philadelphia 76ers,moneyline,Philadelphia 76ers,LowVig.ag,781,5/5,100,Pending,0.0,
2026-03-17,basketball_nba,New York Knicks,Indiana Pacers,moneyline,Indiana Pacers,Bovada,600,5/5,100,Pending,0.0,
2026-03-17,basketball_nba,New York Knicks,Indiana Pacers,moneyline,Indiana Pacers,BetUS,600,5/5,100,Pending,0.0,
2026-03-17,basketball_nba,Denver Nuggets,Philadelphia 76ers,moneyline,Philadelphia 76ers,BetOnline.ag,754,5/5,100,Pending,0.0,
2026-03-17,basketball_nba,Denver Nuggets,Philadelphia 76ers,moneyline,Philadelphia 76ers,BetMGM,750,5/5,100,Pending,0.0,
2026-03-17,basketball_nba,Denver Nuggets,Philadelphia 76ers,moneyline,Philadelphia 76ers,BetUS,750,5/5,100,Pending,0.0,
2026-03-17,basketball_nba,Denver Nuggets,Philadelphia 76ers,moneyline,Philadelphia 76ers,DraftKings,750,5/5,100,Pending,0.0,
2026-03-17,basketball_nba,Denver Nuggets,Philadelphia 76ers,moneyline,Philadelphia 76ers,Bovada,700,5/5,100,Pending,0.0,
2026-03-17,basketball_nba,Denver Nuggets,Philadelphia 76ers,moneyline,Philadelphia 76ers,MyBookie.ag,694,5/5,100,Pending,0.0,
2026-03-17,basketball_nba,New York Knicks,Indiana Pacers,moneyline,Indiana Pacers,BetRivers,525,5/5,100,Pending,0.0,
2026-03-17,soccer_epl,Fulham,Burnley,moneyline,Burnley,BetRivers,525,5/5,100,Pending,0.0,
2026-03-17,basketball_nba,Denver Nuggets,Philadelphia 76ers,moneyline,Philadelphia 76ers,BetRivers,650,5/5,100,Pending,0.0,
2026-03-17,soccer_epl,Fulham,Burnley,moneyline,Burnley,LowVig.ag,510,5/5,100,Pending,0.0,
2026-03-17,soccer_epl,Fulham,Burnley,moneyline,Burnley,BetOnline.ag,510,5/5,100,Pending,0.0,
2026-03-17,soccer_epl,Fulham,Burnley,moneyline,Burnley,BetMGM,500,5/5,100,Pending,0.0,
2026-03-17,soccer_epl,Liverpool,Fulham,moneyline,Fulham,BetOnline.ag,495,5/5,100,Pending,0.0,
2026-03-17,soccer_epl,Liverpool,Fulham,moneyline,Fulham,LowVig.ag,495,5/5,100,Pending,0.0,
2026-03-17,soccer_epl,Fulham,Burnley,moneyline,Burnley,FanDuel,490,5/5,100,Pending,0.0,
2026-03-17,soccer_epl,Liverpool,Fulham,moneyline,Fulham,BetRivers,480,5/5,100,Pending,0.0,
2026-03-17,soccer_epl,Liverpool,Fulham,moneyline,Fulham,FanDuel,480,5/5,100,Pending,0.0,
2026-03-17,soccer_epl,Liverpool,Fulham,moneyline,Fulham,Bovada,475,5/5,100,Pending,0.0,
2026-03-17,soccer_epl,Fulham,Burnley,moneyline,Burnley,BetUS,475,5/5,100,Pending,0.0,
2026-03-17,soccer_epl,Fulham,Burnley,moneyline,Burnley,DraftKings,475,5/5,100,Pending,0.0,
2026-03-17,soccer_epl,Manchester United,Leeds United,moneyline,Leeds United,LowVig.ag,475,5/5,100,Pending,0.0,
2026-03-17,soccer_epl,Fulham,Burnley,moneyline,Burnley,Bovada,475,5/5,100,Pending,0.0,
2026-03-17,soccer_epl,Manchester United,Leeds United,moneyline,Leeds United,BetOnline.ag,475,5/5,100,Pending,0.0,
2026-03-17,soccer_epl,Fulham,Burnley,moneyline,Burnley,MyBookie.ag,460,5/5,100,Pending,0.0,
2026-03-17,soccer_epl,Liverpool,Fulham,moneyline,Fulham,DraftKings,450,5/5,100,Pending,0.0,
2026-03-17,soccer_epl,Manchester United,Leeds United,moneyline,Leeds United,Bovada,440,5/5,100,Pending,0.0,
2026-03-17,soccer_epl,Manchester United,Leeds United,moneyline,Leeds United,BetRivers,440,5/5,100,Pending,0.0,
2026-03-17,soccer_epl,Manchester United,Leeds United,moneyline,Leeds United,FanDuel,440,5/5,100,Pending,0.0,
2026-03-17,soccer_epl,Newcastle United,Sunderland,moneyline,Sunderland,LowVig.ag,434,5/5,100,Pending,0.0,
2026-03-17,soccer_epl,Newcastle United,Sunderland,moneyline,Sunderland,BetOnline.ag,434,5/5,100,Pending,0.0,
2026-03-17,soccer_epl,Newcastle United,Sunderland,moneyline,Sunderland,BetRivers,430,5/5,100,Pending,0.0,
2026-03-17,soccer_epl,Newcastle United,Sunderland,moneyline,Sunderland,FanDuel,430,5/5,100,Pending,0.0,
2026-03-17,soccer_epl,Newcastle United,Sunderland,moneyline,Sunderland,BetUS,425,5/5,100,Pending,0.0,
2026-03-17,soccer_epl,Newcastle United,Sunderland,moneyline,Sunderland,Bovada,425,5/5,100,Pending,0.0,
2026-03-17,soccer_epl,Newcastle United,Sunderland,moneyline,Sunderland,DraftKings,425,5/5,100,Pending,0.0,
2026-03-17,basketball_nba,Milwaukee Bucks,Cleveland Cavaliers,moneyline,Milwaukee Bucks,BetUS,375,5/5,100,Pending,0.0,
2026-03-17,soccer_epl,Liverpool,Fulham,moneyline,Fulham,MyBookie.ag,420,5/5,100,Pending,0.0,
2026-03-17,basketball_nba,Milwaukee Bucks,Cleveland Cavaliers,moneyline,Milwaukee Bucks,LowVig.ag,374,5/5,100,Pending,0.0,
2026-03-17,basketball_nba,Milwaukee Bucks,Cleveland Cavaliers,moneyline,Milwaukee Bucks,BetOnline.ag,367,5/5,100,Pending,0.0,
2026-03-17,basketball_nba,Orlando Magic,Oklahoma City Thunder,moneyline,Orlando Magic,LowVig.ag,360,5/5,100,Pending,0.0,
2026-03-17,basketball_nba,Orlando Magic,Oklahoma City Thunder,moneyline,Orlando Magic,BetUS,360,5/5,100,Pending,0.0,
2026-03-17,basketball_nba,Orlando Magic,Oklahoma City Thunder,moneyline,Orlando Magic,BetMGM,360,5/5,100,Pending,0.0,
2026-03-17,basketball_nba,Milwaukee Bucks,Cleveland Cavaliers,moneyline,Milwaukee Bucks,DraftKings,360,5/5,100,Pending,0.0,
2026-03-17,basketball_nba,Milwaukee Bucks,Cleveland Cavaliers,moneyline,Milwaukee Bucks,BetMGM,360,5/5,100,Pending,0.0,
2026-03-17,soccer_epl,Manchester United,Leeds United,moneyline,Leeds United,DraftKings,400,5/5,100,Pending,0.0,
2026-03-17,soccer_epl,Manchester United,Leeds United,moneyline,Leeds United,MyBookie.ag,400,5/5,100,Pending,0.0,
2026-03-17,soccer_epl,Newcastle United,Sunderland,moneyline,Sunderland,BetMGM,400,5/5,100,Pending,0.0,
2026-03-17,basketball_nba,Orlando Magic,Oklahoma City Thunder,moneyline,Orlando Magic,BetOnline.ag,354,5/5,100,Pending,0.0,
2026-03-17,basketball_nba,Orlando Magic,Oklahoma City Thunder,moneyline,Orlando Magic,DraftKings,350,5/5,100,Pending,0.0,
2026-03-17,basketball_nba,Milwaukee Bucks,Cleveland Cavaliers,moneyline,Milwaukee Bucks,FanDuel,350,5/5,100,Pending,0.0,
